"","X","age","gender","happy","pleased","disappointed","violated","grateful","info","commute","id","time","effort","consistency","willing","approachable","courteous","listen","honest","effort.1","neat","needs","service","satisfaction","expectation","before_merger","recommend","avail_service","open_again","negative","another_bank"
"1",1,22,"Male",3,3,3,3,3,3,2,2,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,3
"2",2,43,"Male",1,1,5,5,1,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,1,1,4,1,1,1,5,5
"3",3,24,"Male",3,3,3,3,3,2,3,1,1,5,5,2,2,3,3,1,3,2,3,4,4,3,3,3,4,3,2,1
"4",4,23,"Male",2,2,3,1,3,3,2,2,3,4,4,4,3,3,3,3,3,3,3,4,4,4,2,3,3,2,2,3
"5",5,23,"Male",4,4,1,1,3,1,1,2,3,3,4,4,4,2,1,2,2,2,2,3,4,4,4,4,4,4,5,2
"6",6,25,"Female",3,3,3,1,3,1,1,1,3,3,2,2,2,3,2,2,2,2,2,4,4,4,5,3,3,3,2,3
"7",7,24,"Male",4,4,2,2,3,3,1,1,2,2,2,1,1,2,2,2,2,2,1,5,4,4,3,3,3,3,5,4
"8",8,26,"Male",4,4,1,1,4,2,3,2,2,2,2,2,2,2,3,2,3,2,2,3,4,4,3,3,3,3,3,3
"9",9,24,"Female",2,1,4,3,1,1,3,1,3,3,3,4,3,3,3,2,3,3,3,2,2,3,3,2,1,1,2,5
"10",10,75,"Male",5,4,1,2,5,1,5,3,2,5,2,3,3,3,3,3,3,1,3,1,3,3,3,1,1,1,4,5
"11",11,67,"Male",5,5,2,2,4,1,2,3,3,5,3,3,3,3,3,3,3,1,3,1,3,3,3,1,2,1,4,5
"12",12,48,"Male",5,5,2,2,4,1,1,5,3,1,2,3,1,1,1,1,1,1,1,4,5,4,3,4,3,4,1,1
"13",13,80,"Male",5,5,1,1,4,1,1,3,2,1,2,4,2,1,1,2,2,1,4,1,1,1,1,1,1,1,1,5
"14",14,83,"Male",5,4,1,2,4,1,1,1,5,5,1,1,1,1,1,2,2,1,2,2,4,3,1,1,4,1,2,1
"15",15,42,"Male",1,1,1,1,1,5,3,5,1,3,4,4,4,4,3,1,1,1,2,4,4,3,4,1,1,2,3,5
"16",16,77,"Male",5,4,2,1,4,1,1,5,3,1,2,3,1,1,2,1,1,1,1,4,5,4,3,4,4,4,1,1
"17",17,24,"Male",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3
"18",18,24,"Male",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3
"19",19,23,"Female",4,4,4,4,3,3,5,5,3,3,2,2,2,3,2,4,1,3,2,4,3,4,3,3,1,1,4,3
"20",20,26,"Male",4,4,3,2,3,3,3,3,2,3,3,3,4,3,3,3,2,2,2,3,3,3,3,3,3,3,4,4
"21",21,22,"Female",4,4,1,1,3,1,1,1,3,2,3,2,2,2,2,2,2,2,3,3,4,4,4,3,4,4,1,3
"22",22,44,"Female",3,3,1,1,3,1,1,1,3,3,3,3,4,4,3,3,3,5,5,5,1,3,3,4,4,4,5,2
"23",23,24,"Male",3,3,1,1,1,2,1,2,3,4,2,5,3,2,2,3,3,2,2,3,4,4,3,3,4,3,1,2
"24",24,58,"Male",3,3,3,3,3,1,1,1,3,3,2,2,2,2,2,2,2,3,1,5,4,3,3,4,4,4,1,3
"25",25,30,"Male",4,4,2,1,3,4,1,3,1,1,3,3,3,3,1,3,4,1,3,2,3,3,3,1,2,1,4,5
"26",26,32,"Male",4,5,1,1,3,5,1,3,1,1,5,4,4,4,2,3,4,1,5,1,1,1,2,1,1,1,5,5
"27",27,26,"Male",5,5,1,1,4,1,1,1,5,5,2,1,2,1,2,1,2,1,2,4,4,4,4,4,4,4,1,1
"28",28,28,"Female",5,5,1,1,3,4,3,3,1,1,4,4,5,5,2,4,5,1,4,2,2,2,2,1,1,1,5,4
"29",29,35,"Female",5,5,1,1,5,1,1,1,5,5,1,1,2,1,1,3,2,1,1,5,5,5,5,4,4,4,1,1
"30",30,26,"Male",5,4,1,2,3,2,1,2,3,3,3,3,3,3,3,3,3,1,4,2,2,2,2,1,1,1,5,5
"31",31,29,"Male",5,5,1,1,3,2,1,2,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,2,2
"32",32,30,"Male",3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
"33",33,33,"Male",5,5,1,2,3,2,2,2,4,4,2,2,2,2,1,2,2,1,3,3,3,3,3,2,2,2,4,4
"34",34,30,"Female",5,5,1,1,3,5,5,4,1,1,5,5,5,5,1,5,5,1,5,1,1,1,1,1,1,1,5,5
"35",35,35,"Male",5,4,1,1,3,5,4,4,1,1,5,5,5,5,1,5,5,2,5,1,1,1,1,1,1,1,5,5
"36",36,35,"Male",5,5,2,2,3,5,5,5,1,1,4,4,4,4,1,4,4,1,5,1,1,2,2,1,2,1,5,5
"37",37,35,"Male",5,5,1,1,3,5,5,5,1,1,5,4,5,4,1,4,4,1,5,1,1,1,1,1,2,1,5,5
"38",38,30,"Male",5,5,1,1,3,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,1,1
"39",39,40,"Male",5,5,1,2,3,1,1,1,5,5,1,2,1,1,1,1,1,1,1,5,5,5,5,4,4,4,1,1
"40",40,40,"Male",5,4,1,1,3,1,1,1,5,5,1,2,2,2,1,2,1,2,2,4,4,4,4,3,3,4,1,2
"41",41,42,"Male",5,5,2,1,3,1,1,1,5,5,2,1,1,2,1,1,2,1,1,5,5,5,5,4,4,4,1,1
"42",42,29,"Male",5,4,1,1,3,1,1,1,4,5,2,1,2,2,1,3,1,1,1,5,5,5,5,4,4,4,2,5
"43",43,28,"Male",5,4,1,2,3,4,5,4,1,2,4,5,4,5,4,5,3,2,5,1,1,1,1,1,2,1,5,5
"44",44,30,"Male",4,5,2,1,3,1,2,1,4,4,2,3,2,1,1,2,2,1,1,5,5,5,5,4,4,4,1,1
"45",45,33,"Male",3,3,4,3,3,3,2,3,3,2,3,3,2,3,2,3,3,5,3,3,2,3,2,2,2,1,4,4
"46",46,35,"Male",4,5,1,2,2,4,4,4,2,1,2,1,2,3,1,2,3,2,5,1,1,1,2,1,1,1,4,4
"47",47,30,"Female",4,4,3,2,1,4,5,4,1,1,4,5,5,4,5,5,5,1,5,2,2,2,3,1,2,1,5,5
"48",48,40,"Male",4,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
"49",49,40,"Male",5,4,2,1,2,4,5,4,2,2,4,4,4,5,1,4,4,2,5,1,2,1,2,1,2,1,4,5
"50",50,40,"Male",4,4,2,2,4,2,2,2,4,4,2,2,1,2,1,1,2,1,2,4,5,4,3,3,3,3,3,2
"51",51,32,"Female",5,4,2,1,4,4,5,4,2,1,4,5,4,5,1,5,4,2,5,1,1,1,1,1,1,1,5,5
"52",52,28,"Female",4,4,2,2,3,5,5,5,1,1,5,5,5,5,2,4,5,2,4,2,2,1,2,1,2,1,4,5
"53",53,30,"Male",4,5,1,1,4,2,2,2,4,4,2,3,2,3,2,2,3,2,2,4,4,4,4,3,3,3,2,3
"54",54,27,"Male",5,5,1,1,4,2,2,2,4,4,2,2,2,2,1,3,2,1,2,5,4,4,3,4,4,3,3,3
"55",55,42,"Male",4,4,2,2,4,3,2,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,2,2,2,3,3
"56",56,30,"Male",4,4,2,2,4,2,2,2,4,4,2,2,2,2,1,2,2,2,2,4,4,4,3,3,3,3,2,2
"57",57,30,"Male",4,4,1,1,4,4,4,4,1,1,5,5,5,5,2,5,5,1,5,1,1,1,1,1,1,1,5,3
"58",58,25,"Male",4,4,2,2,4,5,5,4,1,1,4,4,4,4,2,4,4,2,5,1,1,1,1,1,1,1,5,5
"59",59,39,"Male",4,4,1,1,4,2,2,2,4,4,2,2,2,2,2,2,2,1,2,4,4,4,4,3,3,3,2,2
"60",60,26,"Male",2,2,3,3,3,4,4,3,1,1,4,5,4,5,2,4,5,1,5,1,1,1,1,1,2,1,5,5
"61",61,29,"Male",5,4,1,1,4,1,1,1,5,5,2,1,2,1,2,1,2,1,1,5,5,4,4,3,4,4,1,1
"62",62,42,"Male",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,4
"63",63,32,"Male",4,4,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3
"64",64,33,"Male",3,3,3,3,3,4,4,4,2,2,4,5,4,3,1,4,5,2,4,2,1,1,1,1,1,1,5,5
"65",65,36,"Male",5,4,3,2,3,4,4,4,2,1,4,4,4,4,4,4,4,2,4,2,2,2,2,1,1,1,4,4
"66",66,35,"Male",4,4,2,2,4,2,2,2,4,4,2,2,3,2,2,2,2,2,2,4,4,4,4,3,3,3,2,2
"67",67,26,"Male",5,5,1,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,1,1
"68",68,33,"Male",2,2,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,2,4,2,2,2,2,2,2,2,4,5
"69",69,29,"Female",3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,2,3,2,2,1,1,1,5,4
"70",70,34,"Male",5,4,1,2,3,5,5,5,1,1,5,5,5,5,2,5,5,2,5,1,1,1,1,1,1,1,5,5
"71",71,42,"Female",1,2,4,5,2,4,5,4,1,2,5,4,4,5,4,4,4,3,5,1,1,1,1,1,2,1,5,5
"72",72,30,"Male",2,1,4,5,1,5,5,5,1,1,5,5,5,5,5,5,5,2,5,1,1,1,1,1,1,1,5,5
"73",73,35,"Male",4,4,1,1,4,1,1,1,4,4,1,2,1,2,1,1,1,1,1,5,5,5,5,4,4,4,1,1
"74",74,35,"Male",1,1,5,5,1,5,5,5,1,1,5,5,5,5,1,5,5,1,5,1,1,1,1,1,1,1,4,5
"75",75,45,"Male",4,5,2,2,5,2,1,2,4,5,3,3,3,3,2,3,2,1,2,5,4,4,4,4,4,3,2,2
"76",76,60,"Male",1,2,4,5,2,5,4,5,1,2,5,5,5,5,1,5,5,2,5,1,1,1,1,1,2,1,5,5
"77",77,49,"Male",2,2,4,4,2,4,4,4,2,2,5,5,5,4,2,3,4,2,5,1,1,1,1,1,2,1,4,5
"78",78,30,"Male",2,1,4,5,2,4,5,5,1,1,4,5,4,3,2,3,4,2,5,1,1,1,1,1,1,1,5,5
"79",79,30,"Male",1,1,4,4,2,4,4,5,2,2,4,4,4,4,2,4,3,2,5,1,1,2,2,2,1,1,4,4
"80",80,33,"Male",4,5,1,1,3,2,2,2,4,4,3,2,2,2,2,2,2,2,2,4,4,4,5,4,4,3,1,2
"81",81,33,"Female",5,4,2,2,4,2,2,2,2,1,4,5,4,4,2,4,4,2,5,2,1,2,2,1,1,1,5,5
"82",82,30,"Male",2,2,4,4,2,4,2,2,2,2,4,4,4,4,2,4,4,1,4,1,1,1,1,1,1,1,5,5
"83",83,30,"Male",1,1,5,5,1,4,3,3,2,1,5,5,5,4,1,4,5,1,5,2,1,2,1,2,1,1,4,5
"84",84,35,"Male",2,2,4,4,2,4,3,4,1,1,4,5,4,5,4,5,4,3,4,1,2,1,1,1,2,1,4,4
"85",85,28,"Male",4,4,3,2,4,2,2,2,2,2,4,4,4,4,4,5,4,2,4,2,2,2,2,2,1,2,5,4
"86",86,26,"Male",5,4,1,1,3,2,1,1,4,5,2,1,2,1,1,3,2,2,2,4,5,5,5,4,4,4,1,1
"87",87,33,"Male",5,4,2,1,3,1,1,1,4,4,2,2,2,2,2,2,2,2,2,4,5,4,4,3,4,4,1,1
"88",88,30,"Male",2,2,5,4,2,4,2,3,1,2,5,4,5,4,2,4,4,2,5,2,2,1,2,1,1,1,5,5
"89",89,33,"Male",1,2,4,5,2,5,3,4,2,1,4,4,4,5,2,5,4,2,4,1,1,1,1,1,2,1,4,4
"90",90,30,"Female",4,5,2,2,3,4,1,4,2,2,4,4,4,4,2,4,4,1,4,2,2,1,1,2,1,1,4,5
"91",91,32,"Male",2,2,4,4,2,4,2,4,1,2,4,4,4,4,3,4,4,3,5,1,1,1,1,1,1,1,5,5
"92",92,49,"Female",4,4,2,2,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,5,4,4,3,4,3,2,2
"93",93,30,"Male",4,4,2,2,5,2,2,4,4,4,2,1,2,1,2,2,1,1,1,5,5,5,5,4,4,3,1,1
"94",94,50,"Female",4,4,2,2,5,2,2,4,2,2,4,4,5,4,3,4,4,2,4,2,2,1,1,1,2,1,1,1
"95",95,30,"Male",4,4,2,1,5,2,2,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,3,3
"96",96,56,"Male",4,4,2,3,3,2,3,4,2,4,4,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,4,4
"97",97,37,"Male",4,4,2,1,4,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3
"98",98,45,"Male",2,2,3,4,4,2,2,5,4,4,2,2,1,2,2,3,2,2,2,4,4,4,4,3,3,2,4,4
"99",99,25,"Male",5,5,1,1,5,1,1,3,5,5,1,1,1,1,1,3,1,1,1,5,5,5,5,4,4,4,1,1
"100",100,45,"Male",3,3,3,3,3,3,1,3,1,1,4,5,5,5,2,5,5,2,5,1,1,1,1,1,1,1,5,5
"101",101,25,"Male",4,4,2,2,4,2,1,1,1,1,5,5,5,5,2,5,5,2,4,1,1,1,1,1,1,1,5,5
